Dev2/ai0	Dev2/ai1	Dev2/ai2	Dev2/ai3	Dev2/ai4	Dev2/ai5	Dev2/ai6	Dev2/ai7	Dev2/ai8	Dev2/ai9	Dev2/ai10	Dev2/ai11	Dev2/ai12	Dev2/ai13	Dev2/ai14	Dev2/ai15	
-2.560425e-001	-2.371216e-001	-2.554321e-001	-2.444458e-001	-2.706909e-001	-2.639771e-001	-2.932739e-001	-1.437378e-001	-1.019287e-001	-6.683350e-002	-8.178711e-002	-7.080078e-002	-9.429932e-002	-8.300781e-002	0.000000e+000	1.147461e-001	
-2.529907e-001	-2.334595e-001	-2.517700e-001	-2.401733e-001	-2.667236e-001	-2.590942e-001	-2.883911e-001	-1.385498e-001	-9.979248e-002	-6.439209e-002	-7.904053e-002	-6.744385e-002	-9.155273e-002	-8.026123e-002	0.000000e+000	1.147461e-001	
-2.502441e-001	-2.304077e-001	-2.484131e-001	-2.368164e-001	-2.624512e-001	-2.548218e-001	-2.835083e-001	-1.333618e-001	-9.704590e-002	-6.195068e-002	-7.629395e-002	-6.469727e-002	-8.850098e-002	-7.751465e-002	0.000000e+000	1.147461e-001	
-2.474976e-001	-2.273560e-001	-2.450562e-001	-2.328491e-001	-2.587891e-001	-2.502441e-001	-2.792358e-001	-1.284790e-001	-9.490967e-002	-5.981445e-002	-7.354736e-002	-6.225586e-002	-8.544922e-002	-7.415771e-002	0.000000e+000	1.150513e-001	
-2.450562e-001	-2.239990e-001	-2.413940e-001	-2.291870e-001	-2.548218e-001	-2.465820e-001	-2.743530e-001	-1.235962e-001	-9.277344e-002	-5.737305e-002	-7.110596e-002	-5.950928e-002	-8.239746e-002	-7.171631e-002	0.000000e+000	1.147461e-001	
-2.420044e-001	-2.209473e-001	-2.383423e-001	-2.261353e-001	-2.511597e-001	-2.426147e-001	-2.706909e-001	-1.190186e-001	-9.033203e-002	-5.493164e-002	-6.896973e-002	-5.676270e-002	-8.026123e-002	-6.866455e-002	-3.051758e-004	1.153564e-001	
-2.392578e-001	-2.178955e-001	-2.352905e-001	-2.224731e-001	-2.478027e-001	-2.386475e-001	-2.661133e-001	-1.141357e-001	-8.819580e-002	-5.310059e-002	-6.683350e-002	-5.432129e-002	-7.751465e-002	-6.622314e-002	-3.051758e-004	1.150513e-001	
-2.368164e-001	-2.151489e-001	-2.319336e-001	-2.194214e-001	-2.441406e-001	-2.346802e-001	-2.621460e-001	-1.098633e-001	-8.575439e-002	-5.065918e-002	-6.439209e-002	-5.218506e-002	-7.476807e-002	-6.347656e-002	0.000000e+000	1.147461e-001	
-2.343750e-001	-2.120972e-001	-2.291870e-001	-2.163696e-001	-2.407837e-001	-2.310181e-001	-2.584839e-001	-1.055908e-001	-8.392334e-002	-4.882813e-002	-6.225586e-002	-4.974365e-002	-7.263184e-002	-6.103516e-002	0.000000e+000	1.147461e-001	
-2.322388e-001	-2.096558e-001	-2.264404e-001	-2.130127e-001	-2.374268e-001	-2.279663e-001	-2.545166e-001	-1.019287e-001	-8.178711e-002	-4.669189e-002	-6.011963e-002	-4.791260e-002	-7.019043e-002	-5.828857e-002	-3.051758e-004	1.147461e-001	
-2.301025e-001	-2.069092e-001	-2.236938e-001	-2.102661e-001	-2.343750e-001	-2.243042e-001	-2.508545e-001	-9.765625e-002	-7.965088e-002	-4.455566e-002	-5.798340e-002	-4.547119e-002	-6.774902e-002	-5.584717e-002	0.000000e+000	1.144409e-001	
-2.279663e-001	-2.047729e-001	-2.206421e-001	-2.072144e-001	-2.313232e-001	-2.209473e-001	-2.471924e-001	-9.338379e-002	-7.781982e-002	-4.241943e-002	-5.554199e-002	-4.333496e-002	-6.530762e-002	-5.371094e-002	0.000000e+000	1.144409e-001	
-2.258301e-001	-2.023315e-001	-2.182007e-001	-2.047729e-001	-2.285767e-001	-2.178955e-001	-2.438354e-001	-8.972168e-002	-7.598877e-002	-4.058838e-002	-5.371094e-002	-4.119873e-002	-6.347656e-002	-5.096436e-002	0.000000e+000	1.144409e-001	
-2.236938e-001	-2.001953e-001	-2.157593e-001	-2.020264e-001	-2.252197e-001	-2.148438e-001	-2.407837e-001	-8.636475e-002	-7.476807e-002	-3.906250e-002	-5.187988e-002	-3.906250e-002	-6.103516e-002	-4.913330e-002	3.051758e-004	1.147461e-001	
-2.212524e-001	-1.977539e-001	-2.133179e-001	-1.992798e-001	-2.227783e-001	-2.120972e-001	-2.377319e-001	-8.270264e-002	-7.263184e-002	-3.723145e-002	-5.004883e-002	-3.692627e-002	-5.889893e-002	-4.699707e-002	0.000000e+000	1.144409e-001	
-2.200317e-001	-1.956177e-001	-2.111816e-001	-1.968384e-001	-2.200317e-001	-2.090454e-001	-2.346802e-001	-7.904053e-002	-7.110596e-002	-3.540039e-002	-4.821777e-002	-3.540039e-002	-5.706787e-002	-4.455566e-002	0.000000e+000	1.144409e-001	
-2.178955e-001	-1.934814e-001	-2.090454e-001	-1.940918e-001	-2.175903e-001	-2.059937e-001	-2.316284e-001	-7.568359e-002	-6.958008e-002	-3.387451e-002	-4.669189e-002	-3.356934e-002	-5.523682e-002	-4.272461e-002	-3.051758e-004	1.144409e-001	
-2.157593e-001	-1.913452e-001	-2.066040e-001	-1.919556e-001	-2.148438e-001	-2.035522e-001	-2.285767e-001	-7.232666e-002	-6.835938e-002	-3.204346e-002	-4.486084e-002	-3.173828e-002	-5.310059e-002	-4.058838e-002	0.000000e+000	1.144409e-001	
-2.142334e-001	-1.892090e-001	-2.041626e-001	-1.898193e-001	-2.120972e-001	-2.008057e-001	-2.258301e-001	-6.988525e-002	-6.683350e-002	-3.051758e-002	-4.333496e-002	-2.990723e-002	-5.126953e-002	-3.875732e-002	0.000000e+000	1.141357e-001	
-2.120972e-001	-1.870728e-001	-2.023315e-001	-1.876831e-001	-2.099609e-001	-1.983643e-001	-2.230835e-001	-6.652832e-002	-6.530762e-002	-2.929688e-002	-4.150391e-002	-2.777100e-002	-4.943848e-002	-3.662109e-002	0.000000e+000	1.144409e-001	
-2.105713e-001	-1.855469e-001	-2.001953e-001	-1.855469e-001	-2.075195e-001	-1.956177e-001	-2.206421e-001	-6.378174e-002	-6.408691e-002	-2.777100e-002	-4.028320e-002	-2.624512e-002	-4.760742e-002	-3.509521e-002	-3.051758e-004	1.141357e-001	
-2.090454e-001	-1.834106e-001	-1.980591e-001	-1.831055e-001	-2.053833e-001	-1.934814e-001	-2.175903e-001	-6.103516e-002	-6.286621e-002	-2.655029e-002	-3.845215e-002	-2.502441e-002	-4.608154e-002	-3.326416e-002	0.000000e+000	1.144409e-001	
-2.075195e-001	-1.815796e-001	-1.962280e-001	-1.809692e-001	-2.032471e-001	-1.907349e-001	-2.154541e-001	-5.798340e-002	-6.134033e-002	-2.532959e-002	-3.723145e-002	-2.349854e-002	-4.455566e-002	-3.173828e-002	0.000000e+000	1.147461e-001	
-2.059937e-001	-1.800537e-001	-1.943970e-001	-1.791382e-001	-2.008057e-001	-1.889038e-001	-2.130127e-001	-5.523682e-002	-6.011963e-002	-2.380371e-002	-3.570557e-002	-2.197266e-002	-4.302979e-002	-2.990723e-002	-3.051758e-004	1.141357e-001	
-2.044678e-001	-1.782227e-001	-1.925659e-001	-1.773071e-001	-1.989746e-001	-1.867676e-001	-2.108765e-001	-5.279541e-002	-5.889893e-002	-2.227783e-002	-3.448486e-002	-2.044678e-002	-4.119873e-002	-2.838135e-002	0.000000e+000	1.144409e-001	
-2.029419e-001	-1.766968e-001	-1.907349e-001	-1.754761e-001	-1.965332e-001	-1.846313e-001	-2.084351e-001	-4.974365e-002	-5.767822e-002	-2.136230e-002	-3.326416e-002	-1.953125e-002	-3.997803e-002	-2.655029e-002	-3.051758e-004	1.144409e-001	
-2.017212e-001	-1.748657e-001	-1.892090e-001	-1.733398e-001	-1.947021e-001	-1.821899e-001	-2.062988e-001	-4.791260e-002	-5.676270e-002	-2.044678e-002	-3.204346e-002	-1.800537e-002	-3.845215e-002	-2.502441e-002	0.000000e+000	1.144409e-001	
-2.001953e-001	-1.733398e-001	-1.873779e-001	-1.715088e-001	-1.931763e-001	-1.803589e-001	-2.041626e-001	-4.577637e-002	-5.554199e-002	-1.922607e-002	-3.112793e-002	-1.647949e-002	-3.692627e-002	-2.380371e-002	0.000000e+000	1.144409e-001	
-1.992798e-001	-1.718140e-001	-1.858521e-001	-1.699829e-001	-1.913452e-001	-1.785278e-001	-2.020264e-001	-4.333496e-002	-5.371094e-002	-1.800537e-002	-2.990723e-002	-1.556396e-002	-3.570557e-002	-2.227783e-002	0.000000e+000	1.141357e-001	
-1.977539e-001	-1.702881e-001	-1.840210e-001	-1.684570e-001	-1.895142e-001	-1.763916e-001	-1.998901e-001	-4.089355e-002	-5.249023e-002	-1.678467e-002	-2.868652e-002	-1.403809e-002	-3.448486e-002	-2.075195e-002	0.000000e+000	1.141357e-001	
-1.968384e-001	-1.693726e-001	-1.828003e-001	-1.669312e-001	-1.879883e-001	-1.745605e-001	-1.980591e-001	-3.875732e-002	-5.187988e-002	-1.556396e-002	-2.746582e-002	-1.312256e-002	-3.326416e-002	-1.922607e-002	0.000000e+000	1.138306e-001	
-1.956177e-001	-1.678467e-001	-1.812744e-001	-1.651001e-001	-1.858521e-001	-1.730347e-001	-1.959229e-001	-3.662109e-002	-5.126953e-002	-1.464844e-002	-2.624512e-002	-1.159668e-002	-3.173828e-002	-1.831055e-002	-3.051758e-004	1.141357e-001	
-1.940918e-001	-1.663208e-001	-1.800537e-001	-1.638794e-001	-1.846313e-001	-1.708984e-001	-1.940918e-001	-3.448486e-002	-5.004883e-002	-1.373291e-002	-2.502441e-002	-1.037598e-002	-3.082275e-002	-1.708984e-002	3.051758e-004	1.141357e-001	
-1.931763e-001	-1.651001e-001	-1.782227e-001	-1.620483e-001	-1.828003e-001	-1.693726e-001	-1.925659e-001	-3.295898e-002	-4.943848e-002	-1.281738e-002	-2.410889e-002	-9.765625e-003	-2.990723e-002	-1.586914e-002	0.000000e+000	1.144409e-001	
-1.916504e-001	-1.638794e-001	-1.773071e-001	-1.608276e-001	-1.815796e-001	-1.678467e-001	-1.907349e-001	-3.082275e-002	-4.852295e-002	-1.190186e-002	-2.288818e-002	-8.239746e-003	-2.868652e-002	-1.464844e-002	3.051758e-004	1.144409e-001	
-1.907349e-001	-1.629639e-001	-1.760864e-001	-1.596069e-001	-1.797485e-001	-1.660156e-001	-1.889038e-001	-2.899170e-002	-4.791260e-002	-1.129150e-002	-2.227783e-002	-7.629395e-003	-2.746582e-002	-1.342773e-002	3.051758e-004	1.144409e-001	
